INCIDENT_NUMBER,OFFENSE_CODE,OFFENSE_CODE_GROUP,OFFENSE_DESCRIPTION,DISTRICT,REPORTING_AREA,SHOOTING,OCCURRED_ON_DATE,YEAR,MONTH,DAY_OF_WEEK,HOUR,UCR_PART,STREET,Lat,Long,Location
I172068857,111,Homicide,"MURDER, NON-NEGLIGIENT MANSLAUGHTER",B2,298,Y,8/20/17 21:39,2017,8,Sunday,21,Part One,WALNUT AVE,42.32320895,-71.08432965,"(42.32320895, -71.08432965)"
I172068628,111,Homicide,"MURDER, NON-NEGLIGIENT MANSLAUGHTER",A1,122,Y,8/20/17 0:17,2017,8,Sunday,0,Part One,TREMONT ST,42.34942864,-71.06536641,"(42.34942864, -71.06536641)"
I172068628,423,Aggravated Assault,ASSAULT - AGGRAVATED,A1,122,Y,8/20/17 0:17,2017,8,Sunday,0,Part One,TREMONT ST,42.34942864,-71.06536641,"(42.34942864, -71.06536641)"
I172068602,413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,C11,335,Y,8/20/17 0:03,2017,8,Sunday,0,Part One,BARRY ST,42.30870401,-71.06844484,"(42.30870401, -71.06844484)"
I172068555,413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,B2,296,Y,8/19/17 20:40,2017,8,Saturday,20,Part One,WARREN ST,42.32221645,-71.08206723,"(42.32221645, -71.08206723)"
I172068552,413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,E5,563,Y,8/19/17 19:46,2017,8,Saturday,19,Part One,FAWNDALE RD,42.29068631,-71.12358911,"(42.29068631, -71.12358911)"
I172068204,413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,D4,903,Y,8/18/17 17:00,2017,8,Friday,17,Part One,SHAWMUT AVE,42.33543394,-71.08076738,"(42.33543394, -71.08076738)"
I172067867,413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,E13,303,Y,8/17/17 15:40,2017,8,Thursday,15,Part One,BRAGDON ST,42.31888243,-71.09929423,"(42.31888243, -71.09929423)"
I172066626,111,Homicide,"MURDER, NON-NEGLIGIENT MANSLAUGHTER",B2,281,Y,8/13/17 23:29,2017,8,Sunday,23,Part One,MOUNT PLEASANT AVE,42.32734041,-71.07945869,"(42.32734041, -71.07945869)"
I172066494,413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,B2,328,Y,8/13/17 13:58,2017,8,Sunday,13,Part One,COLUMBIA RD,42.30876959,-71.07460717,"(42.30876959, -71.07460717)"
I172066494,3831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,B2,328,Y,8/13/17 13:58,2017,8,Sunday,13,Part Three,COLUMBIA RD,42.30876959,-71.07460717,"(42.30876959, -71.07460717)"
I172066370,413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,B2,319,Y,8/12/17 23:09,2017,8,Saturday,23,Part One,MAPLE ST,42.30784206,-71.08650939,"(42.30784206, -71.08650939)"
I172065913,413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,C11,345,Y,8/11/17 15:03,2017,8,Friday,15,Part One,DRAPER ST,42.30168622,-71.06328901,"(42.30168622, -71.06328901)"
I172065913,423,Aggravated Assault,ASSAULT - AGGRAVATED,C11,345,Y,8/11/17 15:03,2017,8,Friday,15,Part One,DRAPER ST,42.30168622,-71.06328901,"(42.30168622, -71.06328901)"
I172065913,1501,Firearm Violations,"WEAPON - FIREARM - CARRYING / POSSESSING, ETC",C11,345,Y,8/11/17 15:03,2017,8,Friday,15,Part Two,DRAPER ST,42.30168622,-71.06328901,"(42.30168622, -71.06328901)"
I172065378,111,Homicide,"MURDER, NON-NEGLIGIENT MANSLAUGHTER",B2,237,Y,8/9/17 22:33,2017,8,Wednesday,22,Part One,ELDER ST,42.32022882,-71.06307063,"(42.32022882, -71.06307063)"
